# Diamond_cryo_no_bc_open1_6vx6h at temperature 289.162 K.
# File generated by IDL:
# Instrument: NOMAD
#TOF                  Is/Iv                   Error
  535.278419101         4.490630150           0.825793503                     
  535.951940449         4.039610863           0.777943854                     
  536.626270857         6.019891262           0.782407127                     
  537.301452907         4.530274868           0.704095793                     
  537.977486600         3.886574745           0.615803048                     
  538.654371935         4.638561726           0.615052990                     
  539.332108912         4.057555676           0.580510068                     
  540.010697532         4.033229351           0.552766194                     
  540.690180376         4.820500851           0.548257820                     
  541.370472281         3.044490814           0.489964270                     
  542.051615827         2.838666677           0.486210401                     
  542.733653598         3.563162088           0.464975709                     
  543.416500430         3.442295551           0.434891938                     
  544.100241486         2.830721378           0.424933194                     
  544.784834184         2.718386412           0.405217306                     
  545.470278525         2.643675089           0.399979104                     
  546.156617090         3.001587152           0.389656006                     
  546.843764715         2.947455168           0.382305534                     
  547.531849147         3.000404835           0.375079596                     
  548.220742639         3.591121674           0.375263388                     
  548.910530355         2.956158638           0.363115664                     
  549.601169714         2.665244579           0.352611690                     
  550.292660715         3.020962477           0.365042597                     
  550.985045941         3.073670149           0.356678889                     
  551.678325391         2.668236971           0.323669862                     
  552.372456484         2.773191690           0.313460638                     
  553.067439218         2.790187120           0.317621561                     
  553.763316178         2.751323223           0.326312968                     
  554.460087362         2.740676641           0.325664150                     
  555.157710188         2.875577927           0.316008191                     
  555.856184656         2.925455093           0.304864387                     
  556.555595931         2.758446455           0.306085378                     
  557.255858848         2.944130659           0.301779188                     
  557.957015990         2.682665110           0.299836719                     
  558.659024774         2.567186832           0.296651863                     
  559.361927783         2.921298027           0.296246303                     
  560.065725016         3.557034254           0.294368787                     
  560.770416474         3.055218458           0.308842631                     
  561.475959574         3.261010170           0.298803120                     
  562.182439480         2.984744310           0.300103992                     
  562.889771029         3.168071032           0.288572510                     
  563.597996802         2.940946817           0.290626358                     
  564.307116800         2.758101225           0.288546385                     
  565.017131022         3.105796814           0.286516817                     
