# Diamond_cryo_no_bc_open1_6vx6h at temperature 289.162 K.
# File generated by IDL:
# Instrument: NOMAD
#TOF                  Is/Iv                   Error
  1360.374677801        0.828262925           0.011936908                     
  1361.651127842        0.837393880           0.011942825                     
  1362.928655739        0.852720380           0.011948332                     
  1364.207530954        0.847514033           0.011903886                     
  1365.487484025        0.839933157           0.011910424                     
  1366.768649683        0.847559631           0.011967123                     
  1368.051027928        0.855060875           0.011974849                     
  1369.334484028        0.838448882           0.011987816                     
  1370.619287447        0.837113380           0.012005022                     
  1371.905168721        0.858543396           0.011999979                     
  1373.192397315        0.847911716           0.012009971                     
  1374.480838495        0.842860043           0.011961592                     
  1375.770492263        0.853558540           0.011987428                     
  1377.061358618        0.854991794           0.011981761                     
  1378.353168096        0.854403615           0.011999959                     
  1379.646459625        0.851802111           0.011988797                     
  1380.940829009        0.866021156           0.011974194                     
  1382.236545712        0.859505713           0.011949367                     
  1383.533475002        0.842949569           0.011942607                     
  1384.831616880        0.835432589           0.011913353                     
  1386.130971344        0.837053299           0.011925753                     
  1387.431268932        0.853275895           0.011913378                     
  1388.733048571        0.866408885           0.011869316                     
  1390.036040797        0.860380471           0.011854698                     
  1391.340245610        0.869006038           0.011853247                     
  1392.645663010        0.874131858           0.011861502                     
  1393.952427729        0.868260682           0.011865529                     
  1395.260270304        0.865889251           0.011849754                     
  1396.569325465        0.852127969           0.011812431                     
  1397.879593214        0.849488914           0.011831149                     
  1399.191073550        0.851017714           0.011819938                     
  1400.503901205        0.856401682           0.011810994                     
  1401.817941446        0.850460470           0.011830828                     
  1403.133194275        0.847620904           0.011818950                     
  1404.449794424        0.870260298           0.011840056                     
  1405.767472427        0.870067954           0.011854241                     
  1407.086497749        0.847822249           0.011831895                     
  1408.406466195        0.837618470           0.011812209                     
  1409.727916691        0.823349297           0.011799440                     
  1411.050579775        0.827566803           0.011830142                     
  1412.374590178        0.826666474           0.011819073                     
  1413.699813167        0.828256965           0.011780374                     
  1415.026114012        0.827780783           0.011785214                     
  1416.353762176        0.825599611           0.011780077                     
  1417.682622928        0.824808180           0.011740515                     
  1419.012696266        0.830529749           0.011723234                     
  1420.344116923        0.830991566           0.011721516                     
  1421.676750168        0.834303975           0.011713874                     
  1423.010730731        0.828096092           0.011702179                     
  1424.345789150        0.821613729           0.011665612                     
  1425.682194887        0.826226294           0.011658065                     
  1427.019678480        0.821771383           0.011672654                     
  1428.358644124        0.832945466           0.011685564                     
  1429.698822355        0.837980866           0.011695253                     
  1431.040213173        0.838057697           0.011697905                     
  1432.382951310        0.843701780           0.011733453                     
  1433.726902034        0.848795474           0.011736019                     
  1435.072065346        0.851730287           0.011764885                     
  1436.418306512        0.852021217           0.011767812                     
  1437.766164461        0.855324864           0.011775086                     
  1439.115100266        0.849414885           0.011777937                     
  1440.465383390        0.834899008           0.011775983                     
  1441.816879100        0.837182820           0.011777277                     
  1443.169722130        0.844336331           0.011766786                     
  1444.523777747        0.842454970           0.011789524                     
  1445.879045951        0.837074041           0.011794987                     
  1447.235661474        0.837303817           0.011778840                     
  1448.593354852        0.846717536           0.011756229                     
  1449.952530281        0.860193491           0.011757152                     
  1451.313053029        0.847747505           0.011737953                     
  1452.674653633        0.841092050           0.011732032                     
  1454.037736287        0.864943504           0.011757295                     
  1455.402031528        0.875009596           0.011773967                     
  1456.767539357        0.872002840           0.011742182                     
  1458.134125041        0.864921331           0.011715002                     
  1459.502327507        0.860617697           0.011724141                     
  1460.871607829        0.849270582           0.011708528                     
  1462.242370202        0.842219055           0.011674593                     
  1463.614345162        0.860079587           0.011666270                     
  1464.987532709        0.858001530           0.011667556                     
  1466.362067575        0.845670462           0.011639306                     
  1467.737680296        0.837226570           0.011625148                     
  1469.114909800        0.848103166           0.011655176                     
  1470.493217159        0.847850621           0.011671064                     
  1471.873006569        0.846679032           0.011675136                     
  1473.254008567        0.849742174           0.011708629                     
  1474.636223151        0.849933803           0.011704620                     
  1476.019919786        0.859254479           0.011686749                     
  1477.404559545        0.853210092           0.011653779                     
  1478.790950818        0.855267286           0.011681030                     
  1480.178285215        0.874851882           0.011728467                     
  1481.567101663        0.870796204           0.011702270                     
  1482.957130697        0.861977577           0.011668547                     
  1484.348507051        0.857292712           0.011636874                     
  1485.741230724        0.858437836           0.011646862                     
  1487.135032252        0.856595218           0.011644076                     
  1488.530585295        0.868724823           0.011626457                     
  1489.927081461        0.878750801           0.011642006                     
  1491.324924946        0.853472710           0.011629730                     
  1492.724250482        0.857898653           0.011649127                     
  1494.124788605        0.859998286           0.011617463                     
  1495.526674047        0.857933998           0.011595677                     
  1496.929772076        0.854918003           0.011600788                     
  1498.334352157        0.863840699           0.011624138                     
  1499.740010092        0.870512307           0.011630005                     
  1501.147150078        0.871192575           0.011625255                     
  1502.555637384        0.872667313           0.011613696                     
  1503.965337276        0.852174699           0.011571167                     
  1505.376519219        0.874767840           0.011613379                     
  1506.788913750        0.882620692           0.011628413                     
  1508.202655599        0.871928990           0.011619788                     
  1509.617610036        0.859454393           0.011598839                     
  1511.034046524        0.860221565           0.011571757                     
  1512.451695598        0.863674462           0.011568533                     
  1513.870826724        0.849005044           0.011551699                     
  1515.291170437        0.848633230           0.011540970                     
  1516.712996200        0.860574961           0.011497818                     
  1518.136034551        0.839943588           0.011431694                     
  1519.560285489        0.830958784           0.011401595                     
  1520.986153210        0.859702826           0.011439069                     
  1522.413098786        0.838226557           0.011397713                     
  1523.841526412        0.834500372           0.011377991                     
  1525.271301358        0.817973435           0.011353675                     
  1526.702423623        0.824670851           0.011333055                     
  1528.134758475        0.836466312           0.011314714                     
  1529.568440646        0.827008784           0.011334064                     
  1531.003739600        0.825207174           0.011346576                     
  1532.439981677        0.831174672           0.011336079                     
  1533.877840537        0.855518639           0.011350964                     
  1535.317046716        0.874112368           0.011380990                     
  1536.757600214        0.859441578           0.011355307                     
  1538.199366300        0.854217768           0.011348315                     
  1539.642614436        0.863754809           0.011373395                     
  1541.087209891        0.843259931           0.011345468                     
  1542.533017933        0.838648319           0.011368009                     
  1543.980308026        0.852730513           0.011363843                     
  1545.428945438        0.839541018           0.011299245                     
  1546.878930170        0.820434988           0.011276399                     
  1548.330262220        0.832222879           0.011305446                     
  1549.783076321        0.847874522           0.011303904                     
  1551.237103009        0.813460886           0.011250611                     
  1552.692477017        0.814908326           0.011266597                     
  1554.149333075        0.818029463           0.011265085                     
  1555.607401720        0.817916632           0.011244408                     
  1557.067087148        0.825500369           0.011243428                     
  1558.527985164        0.822697222           0.011211329                     
  1559.990230498        0.843267858           0.011248365                     
  1561.453957883        0.826422453           0.011241124                     
  1562.918763124        0.833832324           0.011256616                     
  1564.385454611        0.834657550           0.011242403                     
  1565.852954489        0.831430912           0.011236543                     
  1567.322205882        0.834648490           0.011255989                     
  1568.792804595        0.844259262           0.011273606                     
  1570.264750626        0.872259498           0.011284447                     
  1571.738043976        0.871637881           0.011290763                     
  1573.212549914        0.859575570           0.011283046                     
  1574.688807366        0.862553537           0.011289475                     
  1576.166007941        0.863663018           0.011362828                     
  1577.644960031        0.855061531           0.011337851                     
  1579.125124709        0.854812086           0.011297741                     
  1580.606771437        0.865475178           0.011322536                     
  1582.089765484        0.864983141           0.011305899                     
  1583.574241582        0.869732499           0.011292555                     
  1585.060064999        0.861127615           0.011277781                     
  1586.546966272        0.838084579           0.011237783                     
  1588.035619059        0.851432443           0.011256556                     
  1589.525619165        0.841805518           0.011234232                     
  1591.016966590        0.850084007           0.011248668                     
  1592.509796066        0.836252213           0.011191635                     
  1594.003972861        0.844011843           0.011197429                     
  1595.499496976        0.841796279           0.011162598                     
  1596.996368409        0.828348815           0.011138408                     
  1598.494721893        0.821783304           0.011110294                     
  1599.994557428        0.829921603           0.011072119                     
  1601.495740282        0.820756018           0.011060695                     
  1602.998405187        0.815159380           0.011056227                     
  1604.502417411        0.810282052           0.011031982                     
  1606.007911686        0.822648108           0.011042815                     
  1607.514483816        0.844870508           0.011069065                     
  1609.022807461        0.841955483           0.011087792                     
  1610.532478425        0.811915934           0.011057432                     
  1612.043496707        0.828021467           0.011108627                     
  1613.556131773        0.843499780           0.011133697                     
  1615.069979426        0.849465609           0.011156821                     
  1616.585309130        0.863951206           0.011203867                     
  1618.101986153        0.849838138           0.011175255                     
  1619.620279958        0.867289722           0.011210142                     
  1621.139786351        0.870738983           0.011243829                     
  1622.660774795        0.880570948           0.011267393                     
  1624.183245289        0.873509943           0.011221539                     
  1625.707197835        0.882058918           0.011206743                     
  1627.232497699        0.896237731           0.011242933                     
  1628.759144883        0.864614189           0.011175529                     
  1630.287543581        0.857260883           0.011149018                     
  1631.816885403        0.857758284           0.011150580                     
  1633.347978739        0.856809616           0.011099835                     
  1634.880554126        0.852736712           0.011058938                     
  1636.414476832        0.841926455           0.011055080                     
  1637.949881590        0.836288869           0.011027982                     
  1639.486633666        0.841023386           0.011001204                     
  1641.024867793        0.843671620           0.010964944                     
  1642.564449239        0.846214652           0.010973283                     
  1644.105512736        0.815190315           0.010928623                     
  1645.648193016        0.811227262           0.010915637                     
  1647.192220615        0.815215826           0.010919430                     
  1648.737730265        0.838579416           0.010943314                     
  1650.284721966        0.814771652           0.010914518                     
  1651.833060985        0.823997378           0.010950692                     
  1653.382747324        0.822283566           0.010907603                     
  1654.934050446        0.833200336           0.010940511                     
  1656.486700886        0.853005707           0.010975781                     
  1658.040968110        0.847690284           0.010971816                     
  1659.596582652        0.867354095           0.011017160                     
  1661.153813978        0.856478333           0.010977006                     
  1662.712392622        0.859423518           0.010970750                     
  1664.272183854        0.870698392           0.010998315                     
  1665.833996064        0.879939854           0.011015435                     
  1667.396751397        0.868420482           0.010964800                     
  1668.961123513        0.860242724           0.010923748                     
  1670.527112412        0.867201567           0.010916455                     
  1672.094448630        0.860793710           0.010904420                     
  1673.663401631        0.851694047           0.010873642                     
  1675.233432487        0.853211999           0.010856045                     
  1676.805484322        0.856087744           0.010866719                     
  1678.378614011        0.838740647           0.010819914                     
  1679.953360484        0.838765740           0.010802173                     
  1681.529589007        0.817294180           0.010781543                     
  1683.107299582        0.813675284           0.010771629                     
  1684.686492207        0.816732109           0.010766608                     
  1686.267166884        0.826927781           0.010809505                     
  1687.849323611        0.842535615           0.010806097                     
  1689.432692925        0.865678430           0.010844182                     
  1691.017813754        0.878109217           0.010897170                     
  1692.604416634        0.864616990           0.010911860                     
  1694.192501565        0.886104524           0.010978826                     
  1695.782203279        0.894836128           0.011034436                     
  1697.373252312        0.886620581           0.011017051                     
  1698.965783396        0.891447783           0.011014724                     
  1700.559661798        0.879007339           0.011010255                     
  1702.155291716        0.879542232           0.011002172                     
  1703.752268952        0.866746843           0.010945242                     
  1705.350862972        0.860470295           0.010936016                     
  1706.950939042        0.858556032           0.010951763                     
  1708.552497163        0.856917858           0.010917072                     
  1710.155537335        0.842686653           0.010905050                     
  1711.759924826        0.832647443           0.010894712                     
  1713.366198564        0.846378326           0.010912051                     
  1714.973550157        0.833231211           0.010864061                     
  1716.582653264        0.832828343           0.010826528                     
  1718.193238423        0.825568199           0.010780175                     
  1719.805440364        0.818291903           0.010753806                     
  1721.418989625        0.826395094           0.010738677                     
  1723.033886204        0.823882163           0.010741913                     
  1724.650803762        0.835086823           0.010722728                     
  1726.268799176        0.843909621           0.010743365                     
  1727.888411372        0.842667937           0.010743012                     
  1729.509640350        0.860609353           0.010786748                     
  1731.132351380        0.868033469           0.010790990                     
  1732.756679193        0.887723088           0.010808992                     
  1734.382354325        0.896902978           0.010801609                     
  1736.009646239        0.893261611           0.010810782                     
  1737.638285472        0.900472105           0.010804854                     
  1739.268676221        0.893338263           0.010785682                     
  1740.900549020        0.880277872           0.010785093                     
  1742.534038602        0.874282241           0.010767876                     
  1744.168875503        0.868894815           0.010747446                     
  1745.805463919        0.876632929           0.010733173                     
  1747.443399653        0.864305317           0.010724648                     
  1749.082817439        0.862771928           0.010724863                     
  1750.723852007        0.856326222           0.010699652                     
  1752.366503359        0.858784080           0.010676589                     
  1754.010636761        0.861627281           0.010691846                     
  1755.656386946        0.853439867           0.010683510                     
  1757.303619182        0.837095261           0.010641409                     
  1758.952468201        0.825805306           0.010602340                     
  1760.602664539        0.820545673           0.010588696                     
  1762.254747123        0.810148954           0.010568002                     
  1763.907907563        0.805936694           0.010559871                     
  1765.562954249        0.820793748           0.010557364                     
  1767.219482986        0.803288579           0.010544349                     
  1768.877628506        0.790630698           0.010534499                     
  1770.537256077        0.792868555           0.010519075                     
  1772.198365699        0.804360330           0.010543302                     
  1773.861361568        0.815824389           0.010539673                     
  1775.525435292        0.816460431           0.010568166                     
  1777.191395262        0.820008457           0.010563488                     
  1778.858837283        0.812807620           0.010554433                     
  1780.527896088        0.809573531           0.010571830                     
  1782.198436943        0.809106052           0.010559709                     
  1783.870594580        0.816509783           0.010567917                     
  1785.544369001        0.817611754           0.010555487                     
  1787.219490741        0.815031230           0.010548373                     
  1788.896363995        0.819149256           0.010562859                     
  1790.574719301        0.816763461           0.010543371                     
  1792.254826121        0.813182890           0.010518516                     
  1793.936414992        0.810586333           0.010512385                     
  1795.619485914        0.808683157           0.010505926                     
  1797.304308351        0.807377934           0.010498381                     
  1798.990478106        0.814913332           0.010495276                     
  1800.678399377        0.813139617           0.010462706                     
  1802.367802698        0.801437259           0.010433346                     
  1804.058957534        0.790231407           0.010445302                     
  1805.751594421        0.801738620           0.010424909                     
  1807.445848091        0.807474554           0.010448275                     
  1809.141718544        0.813232362           0.010435466                     
  1810.838936316        0.820716500           0.010423617                     
  1812.538040334        0.828738391           0.010444031                     
  1814.238626403        0.839538157           0.010460879                     
  1815.940829255        0.855620682           0.010461291                     
  1817.644648890        0.857838631           0.010468538                     
  1819.350085308        0.847031772           0.010482219                     
  1821.057138508        0.844971657           0.010474061                     
  1822.765539028        0.852423608           0.010494109                     
  1824.475960526        0.844335854           0.010473881                     
  1826.187594611        0.830863953           0.010439978                     
  1827.900980211        0.835828245           0.010438272                     
  1829.616117326        0.828370988           0.010437018                     
  1831.332736492        0.802839875           0.010420654                     
  1833.050972440        0.797711551           0.010399322                     
  1834.770825171        0.815377772           0.010393085                     
  1836.492294685        0.816087902           0.010412896                     
  1838.215246250        0.819766164           0.010420051                     
  1839.939949330        0.817371070           0.010411793                     
  1841.666269193        0.809790909           0.010402906                     
  1843.394205838        0.818287432           0.010398215                     
  1845.123893998        0.825331509           0.010433382                     
  1846.855064209        0.819964290           0.010431223                     
